epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7228.02,1.94559,2.98373,1.93772,0.43451,0.09962,0.06796,0.03074,1.93738,2.64882,2.0032,0.000128102,0.000128102,0.000128102
2,15036.6,1.83565,2.52442,1.82888,0.3983,0.10817,0.0829,0.03835,1.89873,2.44709,1.99263,0.000243741,0.000243741,0.000243741
3,23413.7,1.79535,2.41817,1.8093,0.5318,0.09385,0.08869,0.04344,1.81004,2.23167,1.89585,0.000346676,0.000346676,0.000346676
4,31099.6,1.76695,2.34822,1.78003,0.30662,0.13324,0.10653,0.05087,1.78983,2.16228,1.89695,0.000327827,0.000327827,0.000327827
5,38254.4,1.73376,2.25836,1.73754,0.39308,0.12083,0.11888,0.05773,1.74475,2.14719,1.84698,0.00030877,0.00030877,0.00030877
6,45333.5,1.69538,2.19384,1.70646,0.37492,0.14217,0.13019,0.06227,1.72959,2.02418,1.82357,0.000289712,0.000289712,0.000289712
7,54220.1,1.67813,2.14344,1.68735,0.42349,0.11919,0.13169,0.06305,1.71516,2.08731,1.78514,0.000270655,0.000270655,0.000270655
8,64483.5,1.6452,2.10164,1.67037,0.48896,0.16064,0.14336,0.07022,1.69767,1.9867,1.77936,0.000251597,0.000251597,0.000251597
9,74333,1.63151,2.06039,1.65704,0.3555,0.17041,0.14701,0.07057,1.68386,1.96219,1.77514,0.00023254,0.00023254,0.00023254
10,84278,1.61606,2.04435,1.65239,0.4426,0.18256,0.16385,0.07815,1.68504,1.93637,1.76604,0.000213482,0.000213482,0.000213482
11,92274.2,1.62706,1.99576,1.72436,0.42652,0.18554,0.16525,0.08244,1.66303,1.88756,1.74645,0.000194425,0.000194425,0.000194425
12,100640,1.60943,1.94331,1.71006,0.42007,0.19647,0.17272,0.08373,1.65251,1.85178,1.72963,0.000175367,0.000175367,0.000175367
13,109526,1.60479,1.90935,1.70229,0.41176,0.20448,0.1836,0.08984,1.67593,1.86129,1.74896,0.00015631,0.00015631,0.00015631
14,118074,1.58619,1.86806,1.68228,0.44165,0.20205,0.19506,0.09619,1.62998,1.7966,1.7204,0.000137252,0.000137252,0.000137252
15,125503,1.55954,1.83969,1.66717,0.47384,0.20163,0.19734,0.0985,1.65353,1.85114,1.73655,0.000118195,0.000118195,0.000118195
16,133042,1.54205,1.80475,1.65342,0.47139,0.21674,0.20796,0.10317,1.62876,1.81572,1.70158,9.91375e-05,9.91375e-05,9.91375e-05
17,143182,1.53521,1.77553,1.63773,0.46628,0.21434,0.20132,0.09868,1.63939,1.80777,1.71639,8.008e-05,8.008e-05,8.008e-05
18,153688,1.51675,1.74066,1.62913,0.45965,0.2318,0.21508,0.10864,1.62009,1.758,1.68936,6.10225e-05,6.10225e-05,6.10225e-05
19,164349,1.49987,1.71781,1.61631,0.47954,0.22703,0.22055,0.11079,1.63156,1.82382,1.69924,4.1965e-05,4.1965e-05,4.1965e-05
20,173387,1.4771,1.68226,1.60023,0.47639,0.24254,0.23006,0.11597,1.60971,1.75744,1.68083,2.29075e-05,2.29075e-05,2.29075e-05
